city,term,url
Alexandria,legal services,"https://www.google.com/maps/search/alexandria+virginia+legal+services/@38.8185,-77.0861,12z/"
Bayamón,legal services,"https://www.google.com/maps/search/bayamón+puerto+rico+legal+services/@18.3794,-66.1635,12z/"
Hollywood,legal services,"https://www.google.com/maps/search/hollywood+florida+legal+services/@26.0293,-80.1679,12z/"
Sunnyvale,legal services,"https://www.google.com/maps/search/sunnyvale+california+legal+services/@37.3836,-122.0255,12z/"
Pomona,legal services,"https://www.google.com/maps/search/pomona+california+legal+services/@34.0585,-117.7626,12z/"
New Bedford,legal services,"https://www.google.com/maps/search/new+bedford+massachusetts+legal+services/@41.6697,-70.9428,12z/"
Bellevue,legal services,"https://www.google.com/maps/search/bellevue+washington+legal+services/@47.5951,-122.1535,12z/"
Paterson,legal services,"https://www.google.com/maps/search/paterson+new+jersey+legal+services/@40.9147,-74.1624,12z/"
Torrance,legal services,"https://www.google.com/maps/search/torrance+california+legal+services/@33.8346,-118.3416,12z/"
Pasadena,legal services,"https://www.google.com/maps/search/pasadena+california+legal+services/@34.1597,-118.139,12z/"
Fullerton,legal services,"https://www.google.com/maps/search/fullerton+california+legal+services/@33.8841,-117.9279,12z/"
Miramar,legal services,"https://www.google.com/maps/search/miramar+florida+legal+services/@25.9773,-80.3351,12z/"
Orange,legal services,"https://www.google.com/maps/search/orange+california+legal+services/@33.8038,-117.8218,12z/"
Santa Maria,legal services,"https://www.google.com/maps/search/santa+maria+california+legal+services/@34.9333,-120.4431,12z/"
Metairie,legal services,"https://www.google.com/maps/search/metairie+louisiana+legal+services/@29.9977,-90.178,12z/"
Racine,legal services,"https://www.google.com/maps/search/racine+wisconsin+legal+services/@42.7274,-87.8135,12z/"
Carolina,legal services,"https://www.google.com/maps/search/carolina+puerto+rico+legal+services/@18.4054,-65.9792,12z/"
Coral Springs,legal services,"https://www.google.com/maps/search/coral+springs+florida+legal+services/@26.2702,-80.2591,12z/"
Elizabeth,legal services,"https://www.google.com/maps/search/elizabeth+new+jersey+legal+services/@40.6658,-74.1913,12z/"
Santa Clara,legal services,"https://www.google.com/maps/search/santa+clara+california+legal+services/@37.3646,-121.968,12z/"
Yuba City,legal services,"https://www.google.com/maps/search/yuba+city+california+legal+services/@39.1357,-121.6383,12z/"
Berkeley,legal services,"https://www.google.com/maps/search/berkeley+california+legal+services/@37.8722,-122.276,12z/"
East Los Angeles,legal services,"https://www.google.com/maps/search/east+los+angeles+california+legal+services/@34.0326,-118.1691,12z/"
Cambridge,legal services,"https://www.google.com/maps/search/cambridge+massachusetts+legal+services/@42.3759,-71.1185,12z/"
Clearwater,legal services,"https://www.google.com/maps/search/clearwater+florida+legal+services/@27.979,-82.7623,12z/"
Pottstown,legal services,"https://www.google.com/maps/search/pottstown+pennsylvania+legal+services/@40.2508,-75.6445,12z/"
El Monte,legal services,"https://www.google.com/maps/search/el+monte+california+legal+services/@34.0739,-118.0291,12z/"
Costa Mesa,legal services,"https://www.google.com/maps/search/costa+mesa+california+legal+services/@33.6667,-117.9135,12z/"
Clovis,legal services,"https://www.google.com/maps/search/clovis+california+legal+services/@36.8278,-119.683,12z/"
Lowell,legal services,"https://www.google.com/maps/search/lowell+massachusetts+legal+services/@42.6389,-71.3217,12z/"
Downey,legal services,"https://www.google.com/maps/search/downey+california+legal+services/@33.9379,-118.1311,12z/"
Pompano Beach,legal services,"https://www.google.com/maps/search/pompano+beach+florida+legal+services/@26.2428,-80.1312,12z/"
Miami Gardens,legal services,"https://www.google.com/maps/search/miami+gardens+florida+legal+services/@25.9433,-80.2426,12z/"
Gresham,legal services,"https://www.google.com/maps/search/gresham+oregon+legal+services/@45.5021,-122.4413,12z/"
Inglewood,legal services,"https://www.google.com/maps/search/inglewood+california+legal+services/@33.9566,-118.3444,12z/"
San Buenaventura,legal services,"https://www.google.com/maps/search/san+buenaventura+california+legal+services/@34.2741,-119.2314,12z/"
Daly City,legal services,"https://www.google.com/maps/search/daly+city+california+legal+services/@37.6862,-122.4685,12z/"
Highlands Ranch,legal services,"https://www.google.com/maps/search/highlands+ranch+colorado+legal+services/@39.5419,-104.9708,12z/"
Kailua,legal services,"https://www.google.com/maps/search/kailua+hawaii+legal+services/@21.392,-157.7396,12z/"
West Covina,legal services,"https://www.google.com/maps/search/west+covina+california+legal+services/@34.0555,-117.9113,12z/"
Turlock,legal services,"https://www.google.com/maps/search/turlock+california+legal+services/@37.5053,-120.8588,12z/"
